id,country_name_short,country,region,sub_region
562,Niger (the),Niger,Africa,Sub-Saharan Africa
566,Nigeria,Nigeria,Africa,Sub-Saharan Africa
570,Niue    **,Niue,Oceania,Polynesia
574,,Norfolk Island,Oceania,Australia and New Zealand
580,,Northern Mariana Islands,Oceania,Micronesia
578,Norway,Norway,Europe,Northern Europe
512,Oman,Oman,Asia,Western Asia
586,Pakistan,Pakistan,Asia,Southern Asia
585,Palau,Palau,Oceania,Micronesia
591,Panama,Panama,Americas,Latin America and the Caribbean
598,Papua New Guinea,Papua New Guinea,Oceania,Melanesia
600,Paraguay,Paraguay,Americas,Latin America and the Caribbean
604,Peru,Peru,Americas,Latin America and the Caribbean
608,Philippines,Philippines,Asia,South-eastern Asia
612,,Pitcairn,Oceania,Polynesia
616,Poland,Poland,Europe,Eastern Europe
620,Portugal,Portugal,Europe,Southern Europe
630,Puerto Rico,Puerto Rico,Americas,Latin America and the Caribbean
634,Qatar,Qatar,Asia,Western Asia
410,Republic of Korea,Republic of Korea,Asia,Eastern Asia
498,Republic of Moldova (the),Republic of Moldova,Europe,Eastern Europe
642,Romania,Romania,Europe,Eastern Europe
643,Russian Federation,Russian Federation,Europe,Eastern Europe
646,Rwanda,Rwanda,Africa,Sub-Saharan Africa
638,,Réunion,Africa,Sub-Saharan Africa
652,,Saint Barthélemy,Americas,Latin America and the Caribbean
654,,Saint Helena,Africa,Sub-Saharan Africa
659,Saint Kitts and Nevis,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
662,Saint Lucia,Saint Lucia,Americas,Latin America and the Caribbean
663,,Saint Martin (French Part),Americas,Latin America and the Caribbean
666,,Saint Pierre and Miquelon,Americas,Northern America
670,Saint Vincent and Grenadines,Saint Vincent and Grenadines,Americas,Latin America and the Caribbean
882,Samoa,Samoa,Oceania,Polynesia
674,San Marino,San Marino,Europe,Southern Europe
678,Sao Tome and Principe,Sao Tome and Principe,Africa,Sub-Saharan Africa
,,Sark,Europe,Northern Europe
682,Saudi Arabia,Saudi Arabia,Asia,Western Asia
686,Senegal,Senegal,Africa,Sub-Saharan Africa
688,Serbia,Serbia,Europe,Southern Europe
690,Seychelles,Seychelles,Africa,Sub-Saharan Africa
694,Sierra Leone,Sierra Leone,Africa,Sub-Saharan Africa
702,Singapore,Singapore,Asia,South-eastern Asia
534,,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
703,Slovakia,Slovakia,Europe,Eastern Europe
705,Slovenia,Slovenia,Europe,Southern Europe
90,Solomon Islands,Solomon Islands,Oceania,Melanesia
706,Somalia,Somalia,Africa,Sub-Saharan Africa
710,South Africa,South Africa,Africa,Sub-Saharan Africa
239,,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
728,South Sudan,South Sudan,Africa,Sub-Saharan Africa
724,Spain,Spain,Europe,Southern Europe
144,Sri Lanka,Sri Lanka,Asia,Southern Asia
275,State of Palestine  *,State of Palestine,Asia,Western Asia
729,Sudan (the),Sudan,Africa,Northern Africa
740,Suriname,Suriname,Americas,Latin America and the Caribbean
744,,Svalbard and Jan Mayen Islands,Europe,Northern Europe
752,Sweden,Sweden,Europe,Northern Europe
756,Switzerland,Switzerland,Europe,Western Europe
760,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia
762,Tajikistan,Tajikistan,Asia,Central Asia
764,Thailand,Thailand,Asia,South-eastern Asia
807,the former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,Europe,Southern Europe
626,Timor-Leste,Timor-Leste,Asia,South-eastern Asia
768,Togo,Togo,Africa,Sub-Saharan Africa
772,,Tokelau,Oceania,Polynesia
776,Tonga,Tonga,Oceania,Polynesia
780,Trinidad and Tobago,Trinidad and Tobago,Americas,Latin America and the Caribbean
788,Tunisia,Tunisia,Africa,Northern Africa
792,Turkey,Turkey,Asia,Western Asia
795,Turkmenistan,Turkmenistan,Asia,Central Asia
796,,Turks and Caicos Islands,Americas,Latin America and the Caribbean
798,Tuvalu,Tuvalu,Oceania,Polynesia
800,Uganda,Uganda,Africa,Sub-Saharan Africa
804,Ukraine,Ukraine,Europe,Eastern Europe
784,United Arab Emirates (the),United Arab Emirates,Asia,Western Asia
826,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom,Europe,Northern Europe
834,United Republic of Tanzania (the),United Republic of Tanzania,Africa,Sub-Saharan Africa
581,,United States Minor Outlying Islands,Oceania,Micronesia
850,,United States Virgin Islands,Americas,Latin America and the Caribbean
840,United States of America (the),United States,Americas,Northern America
858,Uruguay,Uruguay,Americas,Latin America and the Caribbean
860,Uzbekistan,Uzbekistan,Asia,Central Asia
548,Vanuatu,Vanuatu,Oceania,Melanesia
862,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
704,Viet Nam,Viet Nam,Asia,South-eastern Asia
876,,Wallis and Futuna Islands,Oceania,Polynesia
732,,Western Sahara,Africa,Northern Africa
887,Yemen,Yemen,Asia,Western Asia
894,Zambia,Zambia,Africa,Sub-Saharan Africa
716,Zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa
248,,Åland Islands,Europe,Northern Europe
